Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
AFG,AFGHANISTAN,98.5,101.2,103.7,106.2,108.8,111.5,114.5,117.7,121.0,124.4,127.7,131.0,133.9,136.6,139.1,141.7,144.6,147.9,152.1,157.1,162.7,169.3,176.2
AGO,ANGOLA,163.5,168.5,173.1,177.9,182.6,187.1,191.1,194.2,196.4,197.6,199.6,201.3,203.4,205.0,206.4,207.5,208.7,209.5,210.1,210.5,211.3,212.1,212.8
ALB,ALBANIA,16.7,17.4,18.1,18.8,19.5,20.3,21.2,22.2,23.3,24.5,25.7,27.1,28.6,30.0,31.5,32.9,34.4,35.8,37.1,38.4,39.8,41.2,42.5
AND,ANDORRA,3.2,3.3,3.5,3.6,3.7,3.8,4.0,4.1,4.3,4.5,4.6,4.8,5.0,5.3,5.5,5.8,6.1,6.4,6.7,7.1,7.5,7.9,8.3
ARE,UNITED ARAB EMIRATES,8.4,8.6,8.8,9.0,9.2,9.4,9.6,9.8,10.0,10.3,10.6,10.9,11.2,11.5,11.9,12.3,12.7,13.2,13.8,14.4,15.1,15.9,16.8
ARG,ARGENTINA,14.2,14.5,14.8,15.2,15.5,15.9,16.5,17.1,17.8,18.5,19.2,19.7,20.2,20.8,21.4,22.0,22.7,23.4,24.1,24.9,25.7,26.6,27.5
ARM,ARMENIA,16.4,17.3,18.2,19.1,20.1,21.1,22.3,23.4,24.6,25.9,27.2,28.6,30.1,31.6,33.2,34.9,36.7,38.6,40.6,42.7,44.9,47.1,49.4
ATG,ANTIGUA AND BARBUDA,9.9,10.2,10.6,11.0,11.4,11.8,12.3,12.8,13.3,13.9,14.5,15.1,15.7,16.4,17.1,17.9,18.6,19.4,20.1,20.9,21.7,22.6,23.5
AUS,AUSTRALIA,4.9,4.9,5.0,5.1,5.2,5.3,5.5,5.6,5.8,5.9,6.0,6.1,6.2,6.4,6.5,6.6,6.8,7.0,7.3,7.7,8.1,8.6,9.2
AUT,AUSTRIA,4.0,4.1,4.2,4.2,4.3,4.4,4.6,4.8,5.0,5.2,5.3,5.4,5.5,5.6,5.8,6.0,6.4,6.8,7.4,8.0,8.5,9.0,9.5
AZE,AZERBAIJAN,35.2,36.7,38.5,40.5,42.7,45.3,48.1,51.2,54.6,58.6,62.8,67.3,72.0,76.7,81.0,84.9,87.9,90.0,91.4,92.1,92.3,92.5,92.8
BDI,BURUNDI,104.3,107.8,111.8,115.8,120.2,124.7,129.4,134.1,138.5,142.5,145.5,147.9,149.8,151.3,152.8,154.3,155.8,157.4,158.8,160.2,161.6,162.7,163.9
BEL,BELGIUM,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0,5.2,5.4,5.6,5.8,6.1,6.3,6.7,7.1,7.6,8.2,8.7,9.2,9.6,10.0
BEN,BENIN,89.5,92.8,96.2,100.1,104.2,108.6,113.9,119.9,126.2,132.3,138.0,143.2,147.4,150.5,152.9,154.4,156.2,158.2,161.0,165.2,170.0,175.4,180.7
BFA,BURKINA FASO,102.4,108.0,114.6,122.6,131.6,141.1,150.7,159.6,167.5,174.0,179.3,183.2,186.2,188.8,191.4,194.2,196.9,199.2,200.8,201.6,201.6,201.4,201.6
BGD,BANGLADESH,40.9,43.8,47.2,50.9,54.9,59.1,63.4,67.7,71.8,75.8,79.7,83.6,87.7,92.3,97.2,102.5,108.1,113.8,119.8,125.7,131.7,137.7,143.6
BGR,BULGARIA,12.1,12.6,13.0,13.3,13.7,14.3,15.0,15.9,17.0,18.1,19.1,20.1,21.1,22.0,22.7,23.1,23.2,23.2,23.1,23.0,22.9,22.6,22.1
BHR,BAHRAIN,9.6,9.8,10.1,10.3,10.6,10.8,11.0,11.2,11.4,11.6,11.8,12.2,12.6,13.3,14.1,15.2,16.6,18.0,19.5,20.9,21.9,22.7,23.2
BHS,BAHAMAS,16.9,17.2,17.6,17.9,18.1,18.2,18.3,18.3,18.2,18.0,17.7,17.4,17.2,17.1,17.1,17.4,17.9,18.5,19.3,20.1,21.1,22.1,23.2
BIH,BOSNIA AND HERZEGOWINA,6.7,7.0,7.5,7.9,8.3,8.6,8.8,8.9,9.0,9.1,9.2,9.6,10.1,10.7,11.5,12.3,13.1,13.8,14.6,15.4,16.3,17.2,18.4
BLR,BELARUS,5.2,5.6,6.1,6.6,7.3,7.9,8.7,9.4,10.2,10.9,11.9,13.0,14.4,15.8,17.0,17.8,18.0,17.9,17.5,17.1,16.8,16.6,16.6
BLZ,BELIZE,18.3,18.8,19.3,19.7,20.1,20.5,20.9,21.4,21.9,22.5,23.2,24.0,25.0,26.1,27.4,28.8,30.4,32.1,34.0,36.0,38.3,40.7,43.4
BOL,BOLIVIA,41.4,43.1,44.9,47.0,49.3,52.0,55.1,58.4,61.9,65.7,69.7,73.8,78.2,82.7,87.3,91.9,96.4,100.9,105.3,109.7,114.2,118.8,123.4
BRA,BRAZIL,14.4,15.3,16.3,17.4,18.6,20.0,21.5,23.1,24.8,26.6,28.7,30.8,33.1,35.6,38.3,41.2,44.2,47.3,50.4,53.4,56.3,59.2,61.7
BRB,BARBADOS,18.4,18.8,19.3,19.6,19.9,20.1,20.2,20.2,20.0,19.6,19.1,18.4,17.7,17.0,16.4,16.0,15.7,15.6,15.7,16.0,16.4,17.0,17.6
BRN,BRUNEI DARUSSALAM,8.0,8.1,8.2,8.2,8.3,8.5,8.6,8.7,8.9,9.0,9.2,9.3,9.5,9.6,9.8,10.0,10.3,10.6,10.9,11.3,11.6,11.9,12.3
BTN,BHUTAN,44.6,46.3,48.1,50.0,52.2,54.7,57.7,61.0,64.5,68.2,72.1,76.3,80.3,84.9,89.4,94.1,99.0,103.9,109.1,114.2,119.5,125.1,130.8
BWA,BOTSWANA,53.3,56.0,57.7,60.5,62.4,62.3,63.1,66.9,74.6,83.3,86.6,86.9,85.4,81.7,77.5,73.1,68.0,63.0,58.1,53.9,50.8,48.8,48.0
CAF,CENTRAL AFRICAN REPUBLIC,128.6,133.1,137.8,142.4,146.7,150.5,153.7,156.8,158.8,160.4,161.6,163.3,164.3,165.0,165.7,166.6,167.1,167.6,168.1,169.0,169.8,170.8,171.3
