id,source,target,target_type,edge_strength,
1,Records of Meetings Attended,Category - People,1,1,
2,Records of Emails Sent (Sender and Recipients),Category - People,1,1,
3,Records of Documents Shared (Author and Recipients),Category - People,1,1,
4,Most Searched Words on HermanMiller.com,Category - People,1,1,
44,Customer Opportunity Products,Category - People,1,1,
105,Customization Requests by Product Category,Category - People,1,1,
125,Paid Search Criteria - Google Ad Words,Category - People,1,1,
126,HermanMiller.com Page Views,Category - People,1,1,
127,HermanMiller.com Page Views,Category - People,1,1,
128,Device Used to Access HermanMiller.com,Category - People,1,1,
129,% New Users Accessing HermanMiller.com,Category - People,1,1,
131,Number of iPad App Portal Downloads,Category - People,1,1,
136,% Respondents Able to Complete Tasks Online,Category - People,1,1,
137,Website User Satisfaction,Category - People,1,1,
138,Website Uptime,Category - People,1,1,
139,Customer Personas,Category - People,1,1,
140,Brand Awareness by Consumer Segments,Category - People,1,1,
141,Brand Sentiment by Consumer Segments,Category - People,1,1,
142,Online Generated Leads,Category - People,1,1,
143,Self Service Usage,Category - People,1,1,
144,Total Number of Online Accounts,Category - People,1,1,
145,Performance Environments - Room Occupancy,Category - People,1,1,
160,Requested Screen Resolution,Category - People,1,1,
161,Room Motion Sensor Activity,Category - People,1,1,
162,Laptop Plugged In to presentation system,Category - People,1,1,
163,Presentation system turned on,Category - People,1,1,
164,Meeting Logs - Rooms,Category - People,1,1,
165,Meeting Logs - People,Category - People,1,1,
166,Meeting Logs - Scheduler,Category - People,1,1,
167,Meeting Logs - Joined by Phone,Category - People,1,1,
168,Shared Documents,Category - People,1,1,
169,Email Logs,Category - People,1,1,
170,Documents Shared Externally,Category - People,1,1,
171,Website Satisfaction - HermanMiller.com,Category - People,1,1,
172,Customer Name,Category - People,1,1,
173,Customer ID,Category - People,1,1,
174,Customer Address,Category - People,1,1,
175,Customer Annual Revenue,Category - People,1,1,
176,Customer Number of Employees,Category - People,1,1,
177,Customer Opportunity ID,Category - People,1,1,
178,Customer Opportunity Name,Category - People,1,1,
179,Customer Opportunity Description,Category - People,1,1,
180,Customer Opportunity Value,Category - People,1,1,
181,Years HM has had relationship with customer,Category - People,1,1,
182,Customer Sales Region,Category - People,1,1,
183,Customer NAICs Code,Category - People,1,1,
184,Customer Jigsaw company ID,Category - People,1,1,
185,Customer Duns Company ID,Category - People,1,1,
186,Names of Teams Engaged in Project Design Process,Category - People,1,1,
187,Capacity - Total Headcount Needed for Current Project,Category - People,1,1,
188,Capacity - Total Headcount Available,Category - People,1,1,
189,Nielsen Segment Analysis,Category - People,1,1,
190,Website Traffic Composition by State by page on site,Category - People,1,1,
191,Website Traffic Gender Composition by Page,Category - People,1,1,
192,Website Traffic Age Composition by Page,Category - People,1,1,
193,Website Traffic by Income by Page,Category - People,1,1,
194,Website Traffic by Net Worth by Page,Category - People,1,1,
195,Website Traffic by Career Status by Page,Category - People,1,1,
196,Website Traffic Top 5 Occupations by Page,Category - People,1,1,
197,Website Traffic by Housing Attribute (Home Owners / Renters) by Page,Category - People,1,1,
198,Website Traffic Length of Residence at Current address by Page,Category - People,1,1,
199,Website Traffic Top 5 Auto Make by Page,Category - People,1,1,
200,Website Traffic Top 4 Psychographies by Page,Category - People,1,1,
201,Count of File Formats for Downloaded Product Brochures,Category - People,1,1,
202,Average Product Downloads per User,Category - People,1,1,
203,Page views by Setting,Category - People,1,1,
204,Number of Page Views by City,Category - People,1,1,
205,Number of Users by City,Category - People,1,1,
206,Work Products by Price point,Category - People,1,1,
207,Historic Transactional Information,Category - People,1,1,
208,Historic Sales by Sales Representative,Category - People,1,1,
209,Historic Sales by Dealer,Category - People,1,1,
210,Ranking of Organization Structure,Category - People,1,1,
211,Ranking of Work Processes,Category - People,1,1,
212,Ranking of Work Location,Category - People,1,1,
213,Ranking of Interactions,Category - People,1,1,
214,Ranking of Individual Work,Category - People,1,1,
215,Ranking of Group Work,Category - People,1,1,
227,Dealer Sales Goal Sales,Category - People,1,1,
228,Dealer Projected Total Sales,Category - People,1,1,
229,Dealer YTD Total Sales,Category - People,1,1,
230,Budget for Dealer Projects,Category - People,1,1,
231,Budget for Events Projects,Category - People,1,1,
232,Budget for General Projects,Category - People,1,1,
233,Budget for Marketing Projects,Category - People,1,1,
234,Budget for Sales Project,Category - People,1,1,
235,Spend on Dealer Projects,Category - People,1,1,
236,Spend on Events Projects,Category - People,1,1,
237,Spend on General Projects,Category - People,1,1,
238,Spend on Marketing Projects,Category - People,1,1,
239,Spend on Sales Projects,Category - People,1,1,
240,Spend on Sales Projects by Region,Category - People,1,1,
241,Budget for Sales Projects by Region,Category - People,1,1,
242,Sales by Year by Region,Category - People,1,1,
243,Planned Sales by Year by Region,Category - People,1,1,
244,Planned Market Share by Year by Region,Category - People,1,1,
245,Actual Market Share by Year by Region,Category - People,1,1,
246,Expected Market Share Growth by Year by Region,Category - People,1,1,
247,Sales by Year by MSA,Category - People,1,1,
248,Planned Sales by Year by MSA,Category - People,1,1,
249,Planned Market Share by Year by MSA,Category - People,1,1,
250,Actual Market Share by Year by MSA,Category - People,1,1,
251,Expected Market Share Growth by Year by MSA,Category - People,1,1,
252,Customer Satisfaction Survey,Category - People,1,1,
282,Sales Per Year to End Customer,Category - People,1,1,
283,Job Title of Respondent,Category - People,1,1,
284,Region of Respondent,Category - People,1,1,
285,Company Size of Respondent,Category - People,1,1,
286,Aesthetic/Importance to Company of Respondent,Category - People,1,1,
287,Degree to Which Technology is Having an Impact on Respondent's Company,Category - People,1,1,
288,Degree to Which Technology is Having an Impact on Way of Working at Respondent's Company,Category - People,1,1,
289,Top Drivers of Change for Workplace Portfolio at Respondent's Company,Category - People,1,1,
290,Percent of Workplace Reconfigured Annually at Respondent's Company,Category - People,1,1,
291,Where Respondent Obtains Workplace Ideas,Category - People,1,1,
292,Most Important Things in Creating Workplaces Three Years From Now,Category - People,1,1,
293,Tools Company Offers to Let Teams Collaborate Virtually,Category - People,1,1,
44,Customer Opportunity Products,Category - Product,1,1,
105,Customization Requests by Product Category,Category - Product,1,1,
207,Historic Transactional Information,Category - Product,1,1,
208,Historic Sales by Sales Representative,Category - Product,1,1,
209,Historic Sales by Dealer,Category - Product,1,1,
210,Ranking of Organization Structure,Category - Product,1,1,
211,Ranking of Work Processes,Category - Product,1,1,
212,Ranking of Work Location,Category - Product,1,1,
213,Ranking of Interactions,Category - Product,1,1,
214,Ranking of Individual Work,Category - Product,1,1,
215,Ranking of Group Work,Category - Product,1,1,
227,Dealer Sales Goal Sales,Category - Product,1,1,
228,Dealer Projected Total Sales,Category - Product,1,1,
229,Dealer YTD Total Sales,Category - Product,1,1,
230,Budget for Dealer Projects,Category - Product,1,1,
