source,target,value,,
Number of Engineers Assigned to Each Product,Design/Development,1,,
Status of Each Task in Development Project,Design/Development,1,,
Core Issues and Resolutions for Each Product,Design/Development,1,,
Revenue Plan by Product,Design/Development,1,,
CAD Drawings,Design/Development,1,,
Lessons Learned in Development Process,Design/Development,1,,
List of Products that Belong in Each Configuration,Design/Development,1,,
Pricing of Products in Each Configuration,Design/Development,1,,
Status in HDP of Product,Design/Development,1,,
Sales - Gross,Design/Development,1,,
Sales - % Change,Design/Development,1,,
Margin - Gross,Design/Development,1,,
Margin - % Change,Design/Development,1,,
Direct Opex - Gross,Design/Development,1,,
Direct Opex - % Change,Design/Development,1,,
Direct Op Income - Gross,Design/Development,1,,
Direct Op Income - % Change,Design/Development,1,,
Spend on Warranty - Gross,Design/Development,1,,
Spend on Warranty - % Change,Design/Development,1,,
Royalty - Gross,Design/Development,1,,
Royalty - % Change,Design/Development,1,,
Direct Op Income - Gross,Design/Development,1,,
Direct Op Income - % Change,Design/Development,1,,
Projected Total Investment Required for Project,Design/Development,1,,
Projected Gross Margin for Project,Design/Development,1,,
Projected 10 Year MVA for Project,Design/Development,1,,
Projected Total Sales Impact (5 Year Cumulative) for Project,Design/Development,1,,
Project Problem Statement,Design/Development,1,,
Customer Needs met by Project,Design/Development,1,,
Strategic Needs Satisfied by Project,Design/Development,1,,
Project Positioning Statement,Design/Development,1,,
Project Key Market Based Product Criteria,Design/Development,1,,
Project Points of Differentiation,Design/Development,1,,
Project Vocabulary,Design/Development,1,,
Project Competitive Assessment,Design/Development,1,,
Project Competitive Cost Comparisons,Design/Development,1,,
Project Cost Target,Design/Development,1,,
Project Cost Estimate,Design/Development,1,,
Project Design Challenges,Design/Development,1,,
Project ID,Design/Development,1,,
Project Status - Project in Trouble,Design/Development,1,,
Project Status - Project Stage,Design/Development,1,,
Project Status - Next Gate for Project,Design/Development,1,,
Projected Budget for Month by Project,Design/Development,1,,
Actual Budget for Month by Project,Design/Development,1,,
Date of Next Milestone for Project,Design/Development,1,,
Projected 5 Year MVA Cumulative,Design/Development,1,,
Total Investment Needed by Project,Design/Development,1,,
Development Expense by Project,Design/Development,1,,
Market Launch Expense,Design/Development,1,,
Target Product Cost,Design/Development,1,,
Start Order Entry,Design/Development,1,,
12 Month Sales Forecast,Design/Development,1,,
Product Development Status,Design/Development,1,,
Market Launch Status,Design/Development,1,,
Project Financial Status,Design/Development,1,,
Project Operations Status,Design/Development,1,,
Project Market Opportunity,Design/Development,1,,
Project Value Proposition,Design/Development,1,,
Projected Annual Net Sales,Design/Development,1,,
Projected Gross Margin,Design/Development,1,,
Projected EVA,Design/Development,1,,
Projected 5 Year MVA Cumulative,Design/Development,1,,
Recommended Capital Investment by Project,Design/Development,1,,
Recommended Expense Investment by Project,Design/Development,1,,
Projected Year 1 Sales,Design/Development,1,,
Projected 5 Year Sales,Design/Development,1,,
Projected Total Investment,Design/Development,1,,
Projected Gross Margin,Design/Development,1,,
Projected 5 Year Operating Income,Design/Development,1,,
Projected 5 Year MVA Cumulative,Design/Development,1,,
Narrative of Project Design Principles,Design/Development,1,,
Narrative of Product Concept,Design/Development,1,,
Market Opportunity Analysis,Design/Development,1,,
Market Criteria,Design/Development,1,,
Market Launch Plan (which Showrooms),Design/Development,1,,
Resource Plan - Full Time Engineers Required,Design/Development,1,,
Narrative of Project Design/ Engineering Risks,Design/Development,1,,
Narrative of Project Marketing Risks,Design/Development,1,,
Narrative of Project Operations Risk,Design/Development,1,,
Narrative of Project Financial Risks,Design/Development,1,,
Names of Teams Engaged in Project Design Process,Design/Development,1,,
Capacity - Total Headcount Needed for Current Project,Design/Development,1,,
Capacity - Total Headcount Available,Design/Development,1,,
Strategic Objective - Intuitive Adaptation,Design/Development,1,,
Strategic Objective - Ultimate Settings,Design/Development,1,,
Strategic Objective - Exceptional Accessories,Design/Development,1,,
Strategic Objective - Living Office Workplace Expertise,Design/Development,1,,
Projected Year 4 Sales for Product in Development,Design/Development,1,,
Level of Innovation for Product in Development,Design/Development,1,,
Anticipated Buzz Level of Product in Development,Design/Development,1,,
Name of Product in Developent,Design/Development,1,,
Anticipated Launch Date for Product in Development,Design/Development,1,,
Projected Living Office Readiness,Design/Development,1,,
Dealer Living Office Readiness,Design/Development,1,,
Records of Meetings Attended,IT,1,,
Records of Emails Sent (Sender and Recipients),IT,1,,
Records of Documents Shared (Author and Recipients),IT,1,,
Requested Screen Resolution,IT,1,,
Room Motion Sensor Activity,IT,1,,
Laptop Plugged In to presentation system,IT,1,,
Presentation system turned on,IT,1,,
Meeting Logs - Rooms,IT,1,,
Meeting Logs - People,IT,1,,
Meeting Logs - Scheduler,IT,1,,
Meeting Logs - Joined by Phone,IT,1,,
Shared Documents,IT,1,,
Email Logs,IT,1,,
Documents Shared Externally,IT,1,,
Most Searched Words on HermanMiller.com,Marketing,1,,
HermanMiller.com Page Views by Product,Marketing,1,,
Number of Views for each Web Asset on HermanMiller.com by Associated Product,Marketing,1,,
Top Web Assets Downloaded from HermanMiller.com by Category,Marketing,1,,
Top Brochures Shipped by Product,Marketing,1,,
Top Brochures Shipped - Workstations,Marketing,1,,
Top Brochures Shipped - Storage,Marketing,1,,
Sales - Gross,Marketing,1,,
Sales - % Change,Marketing,1,,
Margin - Gross,Marketing,1,,
Margin - % Change,Marketing,1,,
Direct Opex - Gross,Marketing,1,,
Direct Opex - % Change,Marketing,1,,
Direct Op Income - Gross,Marketing,1,,
Direct Op Income - % Change,Marketing,1,,
Spend on Warranty - Gross,Marketing,1,,
Spend on Warranty - % Change,Marketing,1,,
Royalty - Gross,Marketing,1,,
Royalty - % Change,Marketing,1,,
Direct Op Income - Gross,Marketing,1,,
Direct Op Income - % Change,Marketing,1,,
Strategic Objective - Intuitive Adaptation,Marketing,1,,
Strategic Objective - Ultimate Settings,Marketing,1,,
Strategic Objective - Exceptional Accessories,Marketing,1,,
Strategic Objective - Living Office Workplace Expertise,Marketing,1,,
Projected Year 4 Sales for Product in Development,Marketing,1,,
Level of Innovation for Product in Development,Marketing,1,,
Anticipated Buzz Level of Product in Development,Marketing,1,,
Name of Product in Developent,Marketing,1,,
Total Number of Online Sales,Marketing,1,,
Product Adjacencies - Seating Idea Starters by Living Office Setting,Marketing,1,,
Market Launch Expense,Marketing,1,,
Start Order Entry,Marketing,1,,
12 Month Sales Forecast,Marketing,1,,
Market Launch Status,Marketing,1,,
Project Value Proposition,Marketing,1,,
Projected Annual Net Sales,Marketing,1,,
Market Criteria,Marketing,1,,
Market Launch Plan (which Showrooms),Marketing,1,,
Narrative of Project Marketing Risks,Marketing,1,,
Paid Search Criteria – Google Ad Words,Marketing,1,,
HermanMiller.com Page Views,Marketing,1,,
HermanMiller.com Page Views,Marketing,1,,
Device Used to Access HermanMiller.com,Marketing,1,,
% New Users Accessing HermanMiller.com,Marketing,1,,
Page accessed first after HermanMiller.com home page,Marketing,1,,
Number of iPad App Portal Downloads,Marketing,1,,
Anticipated Launch Date for Product in Development,Marketing,1,,
Projected Living Office Readiness,Marketing,1,,
Dealer Living Office Readiness,Marketing,1,,
% Respondents Able to Complete Tasks Online,Marketing,1,,
Website User Satisfaction,Marketing,1,,
Website Uptime,Marketing,1,,
Customer Personas,Marketing,1,,
Brand Awareness by Consumer Segments,Marketing,1,,
Brand Sentiment by Consumer Segments,Marketing,1,,
Online Generated Leads,Marketing,1,,
Self Service Usage,Marketing,1,,
Total Number of Online Accounts,Marketing,1,,
Website Satisfaction - HermanMiller.com,Marketing,1,,
Nielsen Segment Analysis,Marketing,1,,
Website Traffic Composition by State by page on site,Marketing,1,,
Website Traffic Gender Composition by Page,Marketing,1,,
Website Traffic Age Composition by Page,Marketing,1,,
Website Traffic by Income by Page,Marketing,1,,
Website Traffic by Net Worth by Page,Marketing,1,,
Website Traffic by Career Status by Page,Marketing,1,,
Website Traffic Top 5 Occupations by Page,Marketing,1,,
Website Traffic by Housing Attribute (Home Owners / Renters) by Page,Marketing,1,,
Website Traffic Length of Residence at Current address by Page,Marketing,1,,
