Name,Location (System),Frequency Updated,Frequency Used,Used By Department 1,Used By Department 2,Used By Department 3,Used By Department 4,Linkable Data 1,Linkable Data 2,Linkable Data 3,Linkable Data 4,People,Product,Place,Image Key
Records of Meetings Attended,Microsoft 365,Daily,Not Utilized,IT,,,,Customer Segment,,,,1,,1,Null
Records of Emails Sent (Sender and Recipients),Microsoft 365,Daily,Not Utilized,IT,,,,Customer Segment,,,,1,,1,Null
Records of Documents Shared (Author and Recipients),Microsoft 365,Daily,Not Utilized,IT,,,,Customer Segment,,,,1,,1,Null
Most Searched Words on HermanMiller.com,Google Analytics,Daily,Monthly,Marketing,,,,Time,Product,Product Type,Product Line,1,,,1
HermanMiller.com Page Views by Product,Google Analytics,Daily,Monthly,Marketing,,,,Time,Product,,,,1,,1
Number of Views for each Web Asset on HermanMiller.com by Associated Product,Google Analytics,Daily,Monthly,Marketing,,,,Time,Product,,,,1,,1
Top Web Assets Downloaded from HermanMiller.com by Category,Google Analytics,Daily,Monthly,Marketing,,,,Time,Product Line,,,,1,,1
Top Brochures Shipped by Product,Google Analytics,Daily,Monthly,Marketing,,,,Time,Product,,,,1,,1
Top Brochures Shipped - Workstations,Google Analytics,Daily,Monthly,Marketing,,,,Time,Product Line,,,,1,,1
Top Brochures Shipped - Storage,Google Analytics,Daily,Monthly,Marketing,,,,Time,Product Line,,,,1,,1
Sales - Gross,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Sales - % Change,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Margin - Gross,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Margin - % Change,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Direct Opex - Gross,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Direct Opex - % Change,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Direct Op Income - Gross,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Direct Op Income - % Change,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Spend on Warranty - Gross,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Spend on Warranty - % Change,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Royalty - Gross,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Royalty - % Change,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Direct Op Income - Gross,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Direct Op Income - % Change,Baan,Weekly,Weekly,Marketing,Design/Development,Research,Product Management,Time,Product,Product Type,Product Line,,1,,2
Strategic Objective - Intuitive Adaptation,Document,Once,Weekly,Marketing,Sales,Research,Design/Development,Product,,,,,1,,3
Strategic Objective - Ultimate Settings,Document,Once,Weekly,Marketing,Sales,Research,Design/Development,Product,,,,,1,,3
Strategic Objective - Exceptional Accessories ,Document,Once,Weekly,Marketing,Sales,Research,Design/Development,Product,,,,,1,,3
Strategic Objective - Living Office Workplace Expertise,Document,Once,Weekly,Marketing,Sales,Research,Design/Development,Product,,,,,1,,3
Projected Year 4 Sales for Product in Development,Document,Once,Weekly,Marketing,Sales,Research,Design/Development,Product,Time,Product Type,Product Line,,1,,3
Level of Innovation for Product in Development,Document,Once,Weekly,Marketing,Sales,Research,Design/Development,Product,Time,Product Type,Product Line,,1,,3
Anticipated Buzz Level of Product in Development,Document,Once,Weekly,Marketing,Sales,Research,Design/Development,Product,Time,Product Type,Product Line,,1,,3
Name of Product in Developent,Document,Once,Weekly,Marketing,Sales,Research,Design/Development,Product,Product Type,Product Line,,,1,,3
