source,target,value,,,,
% New Users Accessing HermanMiller.com,People,1,,,,
% Respondents Able to Complete Tasks Online,People,1,,,,
12 Month Sales Forecast,Product,1,,,,
Actual Budget for Month by Project,Product,1,,,,
Actual Market Share by Year by MSA,People,1,,,,
Actual Market Share by Year by MSA,Product,1,,,,
Actual Market Share by Year by Region,People,1,,,,
Actual Market Share by Year by Region,Product,1,,,,
Actual Sales by Region,Product,1,,,,
Actual Volume by Region,Product,1,,,,
Aesthetic/Importance to Company of Respondant,People,1,,,,
Aesthetic/Importance to Company of Respondant,Product,1,,,,
Anticipated Buzz Level of Product in Development,Product,1,,,,
Anticipated Landscape Types by Year to 2020,Place,1,,,,
Anticipated Launch Date for Product in Development,Product,1,,,,
Anticipated Setting breakdown by Year to 2020,Place,1,,,,
Average Product Downloads per User,People,1,,,,
Baan Department,Product,1,,,,
BaaN Project Number,Product,1,,,,
Brand Awareness by Consumer Segments,People,1,,,,
Brand Sentiment by Consumer Segments,People,1,,,,
Budget for Dealer Projects,People,1,,,,
Budget for Dealer Projects,Product,1,,,,
Budget for Events Projects,People,1,,,,
Budget for Events Projects,Product,1,,,,
Budget for General Projects,People,1,,,,
Budget for General Projects,Product,1,,,,
Budget for Markating Projects,People,1,,,,
Budget for Markating Projects,Product,1,,,,
Budget for Sales Project,People,1,,,,
Budget for Sales Project,Product,1,,,,
Budget for Sales Projects by Region,People,1,,,,
Budget for Sales Projects by Region,Product,1,,,,
CAD Drawings,Product,1,,,,
Capacity - Total Headcount Available,People,1,,,,
Capacity - Total Headcount Needed for Current Project,People,1,,,,
Company Size of Respondant,People,1,,,,
Company Size of Respondant,Product,1,,,,
Core Issues and Resolutions for Each Product,Product,1,,,,
Count of File Formats for Downloaded Product Brochures,People,1,,,,
Current Non-Dealer Opportunity - Customer Name,Product,1,,,,
Current Non-Dealer Opportunity - Owner Name,Product,1,,,,
Current Non-Dealer Opportunity - Region,Product,1,,,,
Current Non-Dealer Opportunity - Stage,Product,1,,,,
Current Non-Dealer Opportunity - Win Probability,Product,1,,,,
Customer Address,People,1,,,,
Customer Annual Revenue,People,1,,,,
Customer Duns Company ID,People,1,,,,
Customer ID,People,1,,,,
Customer Jigsaw company ID,People,1,,,,
Customer NAICs Code,People,1,,,,
Customer Name,People,1,,,,
Customer Needs met by Project,Product,1,,,,
Customer Number of Employees,People,1,,,,
Customer Opportunity Description,People,1,,,,
Customer Opportunity ID,People,1,,,,
Customer Opportunity Name,People,1,,,,
Customer Opportunity Products,People,1,,,,
Customer Opportunity Products,Product,1,,,,
Customer Opportunity Value,People,1,,,,
Customer Personas,People,1,,,,
Customer Sales Region,People,1,,,,
Customer Satisfaction Survey,People,1,,,,
Customer Satisfaction Survey,Product,1,,,,
Customization Requests by Product Category,People,1,,,,
Customization Requests by Product Category,Product,1,,,,
Date of Next Milestone for Project,Product,1,,,,
Dealer Code - Unique Identiifier,Product,1,,,,
Dealer Discounting compared to average dealer discounting by MSA Region,Product,1,,,,
Dealer Living Office Readiness,Product,1,,,,
Dealer Potential Sales Volume,Product,1,,,,
Dealer Projected Total Sales,People,1,,,,
Dealer Projected Total Sales,Product,1,,,,
Dealer Sales Goal,Product,1,,,,
Dealer Sales Goal Sales,People,1,,,,
Dealer Sales Goal Sales,Product,1,,,,
Dealer Sales Volume,Product,1,,,,
Dealer YTD Total Sales,People,1,,,,
Dealer YTD Total Sales,Product,1,,,,
Degree to Which Technology is Having an Impact on Respondant's Company,People,1,,,,
Degree to Which Technology is Having an Impact on Respondant's Company,Product,1,,,,
Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,People,1,,,,
Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,Product,1,,,,
Development Expense by Project,Product,1,,,,
Device Used to Access HermanMiller.com,People,1,,,,
Direct Op Income - % Change,Product,1,,,,
Direct Op Income - % Change,Product,1,,,,
Direct Op Income - Gross,Product,1,,,,
Direct Op Income - Gross,Product,1,,,,
