Name,People,Product,Place,Format,Location (System),Frequency Updated,Frequency Used,Recieved From,Recieved From - Department,Used By Department 1,Used By Department 2,Used By Department 3,Used By Department 4,Linkable Data 1,Linkable Data 2,Linkable Data 3,Linkable Data 4,Unit
Records of Meetings Attended,1,,1,Microsoft 365,Microsoft 365,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Customer Segment,,,,Person
Records of Emails Sent (Sender and Recipients),1,,1,Microsoft 365,Microsoft 365,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Customer Segment,,,,Person
Records of Documents Shared (Author and Recipients),1,,1,Microsoft 365,Microsoft 365,Daily,Not Utilized,Patrick Boruta,IT,IT,,,,Customer Segment,,,,Person
Most Searched Words on HermanMiller.com,1,,,PDF Report,Google Analytics,Daily,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,Product,Product Family,Product Category,Word
HermanMiller.com Page Views by Product,,1,,PDF Report,Google Analytics,Daily,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,Product,,,Page Views
Number of Views for each Web Asset on HermanMiller.com by Associated Product,,1,,PDF Report,Google Analytics,Daily,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,Product,,,Views / Web Asset Type
Top Web Assets Downloaded from HermanMiller.com by Category,,1,,PDF Report,Google Analytics,Daily,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,Product Category,,,Rank
Top Brochures Shipped by Product,,1,,PDF Report,Google Analytics,Daily,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,Product,,,Number Sold
Top Brochures Shipped - Workstations,,1,,PDF Report,Google Analytics,Daily,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,Product Category,,,Number Sold
Top Brochures Shipped - Storage,,1,,PDF Report,Google Analytics,Daily,Monthly,Kim Sobatta,Product Marketing,Marketing,,,,Time,Product Category,,,Number Sold
Sales - Gross,,1,,PDF Report,Baan,Weekly,Weekly,Kim Sobatta,Product Marketing,Marketing,Design/Development,Research,Product Management,Time,Product,Product Family,Product Category,Dollars
Sales - % Change,,1,,PDF Report,Baan,Weekly,Weekly,Kim Sobatta,Product Marketing,Marketing,Design/Development,Research,Product Management,Time,Product,Product Family,Product Category,% Change
Margin - Gross,,1,,PDF Report,Baan,Weekly,Weekly,Kim Sobatta,Product Marketing,Marketing,Design/Development,Research,Product Management,Time,Product,Product Family,Product Category,Dollars
Margin - % Change,,1,,PDF Report,Baan,Weekly,Weekly,Kim Sobatta,Product Marketing,Marketing,Design/Development,Research,Product Management,Time,Product,Product Family,Product Category,% Change
Direct Opex - Gross,,1,,PDF Report,Baan,Weekly,Weekly,Kim Sobatta,Product Marketing,Marketing,Design/Development,Research,Product Management,Time,Product,Product Family,Product Category,Dollars
Direct Opex - % Change,,1,,PDF Report,Baan,Weekly,Weekly,Kim Sobatta,Product Marketing,Marketing,Design/Development,Research,Product Management,Time,Product,Product Family,Product Category,% Change
Direct Op Income - Gross,,1,,PDF Report,Baan,Weekly,Weekly,Kim Sobatta,Product Marketing,Marketing,Design/Development,Research,Product Management,Time,Product,Product Family,Product Category,Dollars
Direct Op Income - % Change,,1,,PDF Report,Baan,Weekly,Weekly,Kim Sobatta,Product Marketing,Marketing,Design/Development,Research,Product Management,Time,Product,Product Family,Product Category,% Change
