id,source,target,target_type,
1,Records of Meetings Attended,People,1,
2,Records of Emails Sent (Sender and Recipients),People,1,
3,Records of Documents Shared (Author and Recipients),People,1,
4,Most Searched Words on HermanMiller.com,People,1,
44,Customer Opportunity Products,People,1,
105,Customization Requests by Product Category,People,1,
125,Paid Search Criteria – Google Ad Words,People,1,
126,HermanMiller.com Page Views,People,1,
127,HermanMiller.com Page Views,People,1,
128,Device Used to Access HermanMiller.com,People,1,
129,% New Users Accessing HermanMiller.com,People,1,
131,Number of iPad App Portal Downloads,People,1,
136,% Respondents Able to Complete Tasks Online,People,1,
137,Website User Satisfaction,People,1,
138,Website Uptime,People,1,
139,Customer Personas,People,1,
140,Brand Awareness by Consumer Segments,People,1,
141,Brand Sentiment by Consumer Segments,People,1,
142,Online Generated Leads,People,1,
143,Self Service Usage,People,1,
144,Total Number of Online Accounts,People,1,
145,Performance Environments - Room Occupancy,People,1,
160,Requested Screen Resolution,People,1,
161,Room Motion Sensor Activity,People,1,
162,Laptop Plugged In to presentation system,People,1,
163,Presentation system turned on,People,1,
164,Meeting Logs - Rooms,People,1,
165,Meeting Logs - People,People,1,
166,Meeting Logs - Scheduler,People,1,
167,Meeting Logs - Joined by Phone,People,1,
168,Shared Documents,People,1,
169,Email Logs,People,1,
170,Documents Shared Externally,People,1,
171,Website Satisfaction - HermanMiller.com,People,1,
172,Customer Name,People,1,
173,Customer ID,People,1,
174,Customer Address,People,1,
175,Customer Annual Revenue,People,1,
176,Customer Number of Employees,People,1,
177,Customer Opportunity ID,People,1,
178,Customer Opportunity Name,People,1,
179,Customer Opportunity Description,People,1,
180,Customer Opportunity Value,People,1,
181,Years HM has had relaitonship with customer,People,1,
182,Customer Sales Region,People,1,
183,Customer NAICs Code,People,1,
184,Customer Jigsaw company ID,People,1,
185,Customer Duns Company ID,People,1,
186,Names of Teams Engaged in Project Design Process,People,1,
187,Capacity - Total Headcount Needed for Current Project,People,1,
188,Capacity - Total Headcount Available,People,1,
189,Nielsen Segment Analysis,People,1,
190,Website Traffic Composition by State by page on site,People,1,
191,Website Traffic Gender Composition by Page,People,1,
192,Website Traffic Age Composition by Page,People,1,
193,Website Traffic by Income by Page,People,1,
194,Website Traffic by Net Worth by Page,People,1,
195,Website Traffic by Career Status by Page,People,1,
196,Website Traffic Top 5 Occupations by Page,People,1,
197,Website Traffic by Housing Attribute (Home Owners / Renters) by Page,People,1,
198,Website Traffic Length of Residence at Current address by Page,People,1,
199,Website Traffic Top 5 Auto Make by Page,People,1,
200,Website Traffic Top 4 Psychographies by Page,People,1,
201,Count of File Formats for Downloaded Product Brochures,People,1,
202,Average Product Downloads per User,People,1,
203,Pageviews by Setting,People,1,
204,Number of Page Views by City,People,1,
205,Number of Users by City,People,1,
206,Work Products by Pricepoint,People,1,
207,Historic Transactional Information,People,1,
208,Historic Sales by Sales Representative,People,1,
209,Historic Sales by Dealer,People,1,
210,Ranking of Organization Structure,People,1,
211,Ranking of Work Processes,People,1,
212,Ranking of Work Location,People,1,
213,Ranking of Interactions,People,1,
214,Ranking of Individual Work,People,1,
215,Ranking of Group Work,People,1,
227,Dealer Sales Goal Sales,People,1,
228,Dealer Projected Total Sales,People,1,
229,Dealer YTD Total Sales,People,1,
230,Budget for Dealer Projects,People,1,
231,Budget for Events Projects,People,1,
232,Budget for General Projects,People,1,
233,Budget for Markating Projects,People,1,
234,Budget for Sales Project,People,1,
235,Spend on Dealer Projects,People,1,
236,Spend on Events Projects,People,1,
237,Spend on General Projects,People,1,
238,Spend on Marketing Projects,People,1,
239,Spend on Sales Projects,People,1,
240,Spend on Sales Projects by Region,People,1,
241,Budget for Sales Projects by Region,People,1,
242,Sales by Year by Region,People,1,
243,Planned Sales by Year by Region,People,1,
244,Planned Market Share by Year by Region,People,1,
245,Actual Market Share by Year by Region,People,1,
246,Expected Market Share Growth by Year by Region,People,1,
247,Sales by Year by MSA,People,1,
248,Planned Sales by Year by MSA,People,1,
249,Planned Market Share by Year by MSA,People,1,
250,Actual Market Share by Year by MSA,People,1,
251,Expected Market Share Growth by Year by MSA,People,1,
252,Customer Satisfaction Survey,People,1,
282,Sales Per Year to End Customer,People,1,
283,Job Title of Respondant,People,1,
284,Region of Respondant,People,1,
285,Company Size of Respondant,People,1,
286,Aesthetic/Importance to Company of Respondant,People,1,
287,Degree to Which Technology is Having an Impact on Respondant's Company,People,1,
288,Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,People,1,
289,Top Drivers of Change for Workplace Portfolio at Respondant's Company,People,1,
290,Percent of Workplace Reconfigured Annually at Respondant's Company,People,1,
291,Where Respondant Obtains Workplace Ideas,People,1,
292,Most Important Things in Creating Workplaces Three Years From Now,People,1,
293,Tools Company Offers to Let Teams Collaborate Virtually,People,1,
44,Customer Opportunity Products,Product,1,
105,Customization Requests by Product Category,Product,1,
207,Historic Transactional Information,Product,1,
208,Historic Sales by Sales Representative,Product,1,
209,Historic Sales by Dealer,Product,1,
210,Ranking of Organization Structure,Product,1,
211,Ranking of Work Processes,Product,1,
212,Ranking of Work Location,Product,1,
213,Ranking of Interactions,Product,1,
214,Ranking of Individual Work,Product,1,
215,Ranking of Group Work,Product,1,
227,Dealer Sales Goal Sales,Product,1,
228,Dealer Projected Total Sales,Product,1,
229,Dealer YTD Total Sales,Product,1,
230,Budget for Dealer Projects,Product,1,
231,Budget for Events Projects,Product,1,
232,Budget for General Projects,Product,1,
233,Budget for Markating Projects,Product,1,
234,Budget for Sales Project,Product,1,
235,Spend on Dealer Projects,Product,1,
236,Spend on Events Projects,Product,1,
237,Spend on General Projects,Product,1,
238,Spend on Marketing Projects,Product,1,
239,Spend on Sales Projects,Product,1,
240,Spend on Sales Projects by Region,Product,1,
241,Budget for Sales Projects by Region,Product,1,
242,Sales by Year by Region,Product,1,
243,Planned Sales by Year by Region,Product,1,
244,Planned Market Share by Year by Region,Product,1,
245,Actual Market Share by Year by Region,Product,1,
246,Expected Market Share Growth by Year by Region,Product,1,
247,Sales by Year by MSA,Product,1,
248,Planned Sales by Year by MSA,Product,1,
249,Planned Market Share by Year by MSA,Product,1,
250,Actual Market Share by Year by MSA,Product,1,
251,Expected Market Share Growth by Year by MSA,Product,1,
252,Customer Satisfaction Survey,Product,1,
282,Sales Per Year to End Customer,Product,1,
283,Job Title of Respondant,Product,1,
284,Region of Respondant,Product,1,
285,Company Size of Respondant,Product,1,
286,Aesthetic/Importance to Company of Respondant,Product,1,
287,Degree to Which Technology is Having an Impact on Respondant's Company,Product,1,
288,Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,Product,1,
289,Top Drivers of Change for Workplace Portfolio at Respondant's Company,Product,1,
290,Percent of Workplace Reconfigured Annually at Respondant's Company,Product,1,
291,Where Respondant Obtains Workplace Ideas,Product,1,
292,Most Important Things in Creating Workplaces Three Years From Now,Product,1,
293,Tools Company Offers to Let Teams Collaborate Virtually,Product,1,
5,HermanMiller.com Page Views by Product,Product,1,
6,Number of Views for each Web Asset on HermanMiller.com by Associated Product,Product,1,
7,Top Web Assets Downloaded from HermanMiller.com by Category,Product,1,
8,Top Brochures Shipped by Product,Product,1,
9,Top Brochures Shipped - Workstations,Product,1,
10,Top Brochures Shipped - Storage,Product,1,
11,Sales - Gross,Product,1,
12,Sales - % Change,Product,1,
13,Margin - Gross,Product,1,
14,Margin - % Change,Product,1,
15,Direct Opex - Gross,Product,1,
16,Direct Opex - % Change,Product,1,
17,Direct Op Income - Gross,Product,1,
18,Direct Op Income - % Change,Product,1,
19,Spend on Warranty - Gross,Product,1,
20,Spend on Warranty - % Change,Product,1,
21,Royalty - Gross,Product,1,
22,Royalty - % Change,Product,1,
23,Direct Op Income - Gross,Product,1,
24,Direct Op Income - % Change,Product,1,
25,Strategic Objective - Intuitive Adaptation,Product,1,
26,Strategic Objective - Ultimate Settings,Product,1,
27,Strategic Objective - Exceptional Accessories,Product,1,
28,Strategic Objective - Living Office Workplace Expertise,Product,1,
29,Projected Year 4 Sales for Product in Development,Product,1,
30,Level of Innovation for Product in Development,Product,1,
31,Anticipated Buzz Level of Product in Development,Product,1,
32,Name of Product in Developent,Product,1,
33,Number of Engineers Assigned to Each Product,Product,1,
34,Status of Each Task in Development Project,Product,1,
35,Core Issues and Resolutions for Each Product,Product,1,
36,Revenue Plan by Product,Product,1,
37,Total Number of Online Sales,Product,1,
38,Performance Environments - Chair Occupancy,Product,1,
39,Product Adjacencies - Seating Idea Starters by Living Office Setting,Product,1,
40,Growth by MSA Region by Year,Product,1,
41,Shipment Growth by MSA Region by Year,Product,1,
42,CAD Drawings,Product,1,
43,Lessons Learned in Development Process,Product,1,
45,Projected Total Investment Required for Project,Product,1,
46,Projected Gross Margin for Project,Product,1,
47,Projected 10 Year MVA for Project,Product,1,
48,Projected Total Sales Impact (5 Year Cumulative) for Project,Product,1,
49,Project Problem Statement,Product,1,
50,Customer Needs met by Project,Product,1,
51,Strategic Needs Satisfied by Project,Product,1,
52,Project Positioning Statement,Product,1,
53,Project Key Market Based Product Criteria,Product,1,
54,Project Points of Differentiation,Product,1,
55,Project Vocabulary,Product,1,
56,Project Competitive Assessment,Product,1,
57,Project Competitive Cost Comparisons,Product,1,
58,Project Cost Target,Product,1,
59,Project Cost Estimate,Product,1,
60,Project Design Challenges,Product,1,
61,Project ID,Product,1,
62,Project Status - Project in Trouble,Product,1,
63,Project Status - Project Stage,Product,1,
64,Project Status - Next Gate for Project,Product,1,
65,Projected Budget for Month by Project,Product,1,
66,Actual Budget for Month by Project,Product,1,
67,Date of Next Milestone for Project,Product,1,
68,Projected 5 Year MVA Cumulative,Product,1,
69,Total Investment Needed by Project,Product,1,
