source,target,value,,,,
Shipment Growth by MSA Region by Year,Category,1,,,,
Target Sales by MSA Region by Year,Category,1,,,,
Target Sales by MSA Region by Segment by Year,Category,1,,,,
Total Number of Online Sales,Customer,1,,,,
Product Adjacencies - Seating Idea Starters by Living Office Setting,Customer,1,,,,
Growth by MSA Region by Year,Customer,1,,,,
Customer Opportunity Products,Customer,1,,,,
Customer Personas,Customer,1,,,,
Brand Awareness by Consumer Segments,Customer,1,,,,
Brand Sentiment by Consumer Segments,Customer,1,,,,
Self Service Usage,Customer,1,,,,
Total Number of Online Accounts,Customer,1,,,,
List of Top Customers by MSA Region,Customer,1,,,,
Top Potential Customers by MSA Region,Customer,1,,,,
Market Size by MSA Region by Year,Customer,1,,,,
Potential Sales by MSA Region by Year,Customer,1,,,,
Shipments by MSA Region by Year,Customer,1,,,,
Number of Employees at each Customer,Customer,1,,,,
Ranking of Each Customer Nationally,Customer,1,,,,
Potential Sales for Projected Per Customer,Customer,1,,,,
Website Satisfaction - HermanMiller.com,Customer,1,,,,
Customer Name,Customer,1,,,,
Customer ID,Customer,1,,,,
Customer Address,Customer,1,,,,
Customer Annual Revenue,Customer,1,,,,
Customer Number of Employees,Customer,1,,,,
Customer Opportunity ID,Customer,1,,,,
Customer Opportunity Name,Customer,1,,,,
Customer Opportunity Description,Customer,1,,,,
Customer Opportunity Value,Customer,1,,,,
Years HM has had relaitonship with customer,Customer,1,,,,
Customer Sales Region,Customer,1,,,,
Customer NAICs Code,Customer,1,,,,
Customer Jigsaw company ID,Customer,1,,,,
Customer Duns Company ID,Customer,1,,,,
Ranking of Organization Structure,Customer,1,,,,
Ranking of Work Processes,Customer,1,,,,
Ranking of Work Location,Customer,1,,,,
Ranking of Interactions,Customer,1,,,,
Ranking of Individual Work,Customer,1,,,,
Ranking of Group Work,Customer,1,,,,
Performance Environments - Chair Occupancy,Customer,1,,,,
Customer Needs met by Project,Customer,1,,,,
Project Key Market Based Product Criteria,Customer,1,,,,
Market Opportunity Analysis,Customer,1,,,,
Market Criteria,Customer,1,,,,
Market Launch Plan (which Showrooms),Customer,1,,,,
Performance Environments - Room Occupancy,Customer,1,,,,
Historic Sales by Sales Representative,Customer,1,,,,
Historic Sales by Dealer,Customer,1,,,,
Project Problem Statement,Customer,1,,,,
Customization Requests by Product Category,Customer,1,,,,
Documents Shared Externally,Customer,1,,,,
Historic Transactional Information,Customer,1,,,,
Projected Size of Anticipated Customer Wins,Customer,1,,,,
Notable Customer Wins,Customer,1,,,,
Notable Customer Losses,Customer,1,,,,
Current Non-Dealer Opportunity - Owner Name,Customer,1,,,,
Current Non-Dealer Opportunity - Customer Name,Customer,1,,,,
Current Non-Dealer Opportunity - Region,Customer,1,,,,
Current Non-Dealer Opportunity - Stage,Customer,1,,,,
Current Non-Dealer Opportunity - Win Probability,Customer,1,,,,
Sales Per Year to End Customer,Customer,1,,,,
Records of Meetings Attended,Customer Segment,1,,,,
Records of Emails Sent (Sender and Recipients),Customer Segment,1,,,,
Records of Documents Shared (Author and Recipients),Customer Segment,1,,,,
